ContactTypeID,Name,ModifiedDate
1,Accounting Manager,00:00.0
2,Assistant Sales Agent,00:00.0
3,Assistant Sales Representative,00:00.0
4,Coordinator Foreign Markets,00:00.0
5,Export Administrator,00:00.0
6,International Marketing Manager,00:00.0
7,Marketing Assistant,00:00.0
8,Marketing Manager,00:00.0
9,Marketing Representative,00:00.0
10,Order Administrator,00:00.0
11,Owner,00:00.0
12,Owner/Marketing Assistant,00:00.0
13,Product Manager,00:00.0
14,Purchasing Agent,00:00.0
15,Purchasing Manager,00:00.0
16,Regional Account Representative,00:00.0
17,Sales Agent,00:00.0
18,Sales Associate,00:00.0
19,Sales Manager,00:00.0
20,Sales Representative,00:00.0
